key,module,type,category,source,notes
FFAssetProxyHasAudioKey,Flexo,mixed,data_storage,binary_extract,Media/asset property key
FFAssetProxyHasVideoKey,Flexo,mixed,data_storage,binary_extract,Media/asset property key
FFAssetProxyMediaRangeKey,Flexo,mixed,data_storage,binary_extract,Media/asset property key
FFAssetProxyTimecodeFrameDurationKey,Flexo,CMTime,numeric_config,binary_extract,Duration value
FFAssetProxyUTTypeKey,Flexo,mixed,data_storage,binary_extract,Media/asset property key
FFAssetProxyVideoFormatNameKey,Flexo,mixed,data_storage,binary_extract,Media/asset property key
FFAssetProxyVideoPropsKey,Flexo,mixed,data_storage,binary_extract,Media/asset property key
FFAssetProxyVideoSourceCountKey,Flexo,mixed,data_storage,binary_extract,Media/asset property key
FFAudioAngles,Flexo,array,data_storage,decompiled_source,Accessed via arrayForKey
FFAudioClipAuxComponentsLayoutKey,Flexo,unknown,data_storage,binary_extract,
FFAudioClipPrimaryComponentsLayoutKey,Flexo,unknown,data_storage,binary_extract,
FFAudioComponentsAreMinimized,Flexo,bool,behavior_toggle,decompiled_source,Accessed via boolForKey
FFAudioComponentsAreOpen,Flexo,bool,behavior_toggle,decompiled_source,Accessed via boolForKey
FFAudioComponentsConfigLayoutKey,Flexo,unknown,data_storage,binary_extract,
FFAudioComponentsLayoutItemCacheKey,Flexo,unknown,data_storage,binary_extract,
FFAudioComponentsLayoutItemLookupKey,Flexo,unknown,data_storage,binary_extract,
FFAudioComponentsLayoutItemLookupUpgradeKey,Flexo,unknown,data_storage,binary_extract,
FFAudioDuckingCurveUpdatedNotificationObjectsKey,Flexo,object,notification_userinfo,binary_extract,NSNotification userInfo object key
FFAudioDuckingLoudnessManagerDuckLevelKey,Flexo,unknown,data_storage,binary_extract,
FFAudioDuckingLoudnessManagerSlavesKey,Flexo,unknown,data_storage,binary_extract,
FFAudioEffectDisableLatencyCompensationKey,Flexo,unknown,data_storage,binary_extract,
FFAudioEffectPresetKeyframeMode,Flexo,enum,mode_enum,binary_extract,Enum/mode value
FFAudioLayersObjectKey,Flexo,object,notification_userinfo,binary_extract,NSNotification userInfo object key
FFAudioMeterDisplayOrderKey,Flexo,unknown,data_storage,binary_extract,
FFAutoAddSpatialEffects,binary_scan,bool,behavior_toggle,binary_strings_scan,"Candidate: discovered via binary strings scan, NOT verified"
FFAutoAddTemporalEffects,binary_scan,bool,behavior_toggle,binary_strings_scan,"Candidate: discovered via binary strings scan, NOT verified"
FFAutomaticCrossfadeDuration,Flexo,CMTime,numeric_config,binary_extract,Duration value
FFAutoReframeAnalysisGetOnDemandCropForAnchoredObjects,binary_scan,bool,behavior_toggle,binary_strings_scan,"Candidate: discovered via binary strings scan, NOT verified"
FFAutoReframeTrackAnalysisGetOnDemandCropForAnchoredObjects,binary_scan,bool,behavior_toggle,binary_strings_scan,"Candidate: discovered via binary strings scan, NOT verified"
FFAutoRenderDelay,Flexo,unknown,data_storage,binary_extract,
FFAutoRenderUpdatedDelay,Flexo,unknown,data_storage,binary_extract,
FFAutoRetimeHFRClipsKey,Flexo,bool,behavior_toggle,binary_extract,Auto-retime high-framerate clips
FFAutoScale,Flexo,bool,behavior_toggle,binary_extract,Auto-scale on import
FFAVEditMode,Final Cut Pro;Flexo,enum,mode_enum,binary_extract,Enum/mode value [also accessed via integerForKey in decomp]
FFAVSplitIsOpen,Flexo,bool,behavior_toggle,decompiled_source,Accessed via boolForKey
FFBackgroundTaskQueueInLowOverheadMode,Flexo,bool,behavior_toggle,binary_extract,Background task throttling
FFBGRenderConsoleLogWhenComplete,Flexo,bool,behavior_toggle,decompiled_source,Accessed via boolForKey
FFCameraArchiveArchiveSize,Flexo,number,numeric_config,binary_extract,Size/dimensions
FFCaptionFactoryLayoutKey,Flexo,mixed,ui_state,binary_extract,Caption subsystem storage
FFCaptionFormatUserDefaultsITTKey,Flexo,mixed,ui_state,binary_extract,Caption subsystem storage
FFCaptionFormatUserDefaultsSCCKey,Flexo,mixed,ui_state,binary_extract,Caption subsystem storage
FFCaptionFormatUserDefaultsSRTKey,Flexo,mixed,ui_state,binary_extract,Caption subsystem storage
FFCaptionInspectorITTDuration,Flexo,CMTime,numeric_config,binary_extract,Duration value
FFCaptionInspectorSCCDuration,Flexo,CMTime,numeric_config,binary_extract,Duration value
FFCaptionInspectorSRTDuration,Flexo,CMTime,numeric_config,binary_extract,Duration value
FFCaptionLayoutBlockFourKey,Flexo,mixed,ui_state,binary_extract,Caption subsystem storage
FFCaptionLayoutBlockOneKey,Flexo,mixed,ui_state,binary_extract,Caption subsystem storage
FFCaptionLayoutBlockThreeKey,Flexo,mixed,ui_state,binary_extract,Caption subsystem storage
FFCaptionLayoutBlockTwoKey,Flexo,mixed,ui_state,binary_extract,Caption subsystem storage
FFCaptionLayoutColumnKey,Flexo,mixed,ui_state,binary_extract,Caption subsystem storage
FFCaptionLayoutRowKey,Flexo,mixed,ui_state,binary_extract,Caption subsystem storage
FFCaptionRolesAndIndexKey,Flexo,mixed,ui_state,binary_extract,Caption subsystem storage
FFCaptionUserLayoutKey,Flexo,mixed,ui_state,binary_extract,Caption subsystem storage
FFCaptionValidationAdjustmentKey,Flexo,mixed,ui_state,binary_extract,Caption subsystem storage
FFCaptionValidationCharacterRangeKey,Flexo,mixed,ui_state,binary_extract,Caption subsystem storage
FFCaptionValidationCharactersKey,Flexo,mixed,ui_state,binary_extract,Caption subsystem storage
FFCaptionValidationErrorClassKey,Flexo,mixed,ui_state,binary_extract,Caption subsystem storage
FFCaptionValidationFrameCountKey,Flexo,mixed,ui_state,binary_extract,Caption subsystem storage
FFCaptionValidationLineNumberKey,Flexo,mixed,ui_state,binary_extract,Caption subsystem storage
FFChangeSideBySideSlideDuration,Flexo,CMTime,numeric_config,binary_extract,Duration value
FFCHFoldersGlobalCollapsedState,Flexo,dict,data_storage,decompiled_source,Accessed via dictionaryForKey
FFCinematicToolEnable,Flexo,bool,behavior_toggle,binary_extract,Enable Cinematic mode tool
