key,module,type,category,source,notes
FFMediaSourceDescriptionSourceKeyKey,Flexo,mixed,data_storage,binary_extract,Media/asset property key
FFMediaTemporalResolutionMode,Flexo,enum,mode_enum,binary_extract,Enum/mode value
FFMemOverdriveEnable,Flexo,bool,behavior_toggle,binary_extract,Enable memory overdrive [also accessed via boolForKey in decomp]
FFMessageTracerActiveDurationKey,Flexo,CMTime,numeric_config,binary_extract,Duration value [also accessed via doubleForKey in decomp]
FFMessageTracerActiveDurationStartDateKey,Flexo,CMTime,numeric_config,binary_extract,Duration value
FFMessageTracerActiveLoggedKey,Flexo,int,telemetry,binary_extract,MessageTracer telemetry [decomp type: int via integerForKey]
FFMessageTracerAnchoredObjectTimeSpentKey,Flexo,mixed,telemetry,binary_extract,MessageTracer telemetry
FFMessageTracerCloudTheaterAveDurationKey,Flexo,CMTime,numeric_config,binary_extract,Duration value [also accessed via integerForKey in decomp]
FFMessageTracerCloudTheaterClipTypeCountKey,Flexo,int,telemetry,binary_extract,MessageTracer telemetry [decomp type: int via integerForKey]
FFMessageTracerCloudTheaterProjectTypeCountKey,Flexo,int,telemetry,binary_extract,MessageTracer telemetry [decomp type: int via integerForKey]
FFMessageTracerCloudTheaterTotalClipCountKey,Flexo,int,telemetry,binary_extract,MessageTracer telemetry [decomp type: int via integerForKey]
FFMessageTracerCloudTheaterTrailerTypeCountKey,Flexo,int,telemetry,binary_extract,MessageTracer telemetry [decomp type: int via integerForKey]
FFMessageTracerLastLoggedDayKey,Flexo,double,telemetry,binary_extract,MessageTracer telemetry [decomp type: double via doubleForKey/setDouble:forKey]
FFMessageTracerLastLoggedSharePerWeekKey,Flexo,double,telemetry,binary_extract,MessageTracer telemetry [decomp type: double via doubleForKey/setDouble:forKey]
FFMessageTracerLastLoggedWeekKey,Flexo,double,telemetry,binary_extract,MessageTracer telemetry [decomp type: double via doubleForKey]
FFMessageTracerLibraryOpenFailedKey,Flexo,int,telemetry,binary_extract,MessageTracer telemetry [decomp type: int via integerForKey]
FFMessageTracerLibraryOpenOkKey,Flexo,int,telemetry,binary_extract,MessageTracer telemetry [decomp type: int via integerForKey]
FFMessageTracerLibraryOpenWithDamageKey,Flexo,int,telemetry,binary_extract,MessageTracer telemetry [decomp type: int via integerForKey]
FFMessageTracerLibraryOpenWithRepairKey,Flexo,int,telemetry,binary_extract,MessageTracer telemetry [decomp type: int via integerForKey]
FFMessageTracerLibraryOpenWithValidationKey,Flexo,int,telemetry,binary_extract,MessageTracer telemetry [decomp type: int via integerForKey]
FFMessageTracerSessionDurationArrayKey,Flexo,CMTime,numeric_config,binary_extract,Duration value [also accessed via arrayForKey in decomp]
FFMessageTracerShareClipInfoArrayKey,Flexo,array,telemetry,binary_extract,MessageTracer telemetry [decomp type: array via arrayForKey]
FFMessageTracerVideoCodecNamesKey,Flexo,mixed,telemetry,binary_extract,MessageTracer telemetry
FFMMConsolidateFilesAlertMessageTextInternal,Flexo,unknown,data_storage,binary_extract,
FFMMOptionsCacheLocationDefault,Flexo,string,path_url,binary_extract,URL/path/location
FFMMOptionsMediaLocationDefault,Flexo,string,path_url,binary_extract,URL/path/location
FFMMOptionsMotionContentLocationDefault,Flexo,string,path_url,binary_extract,URL/path/location
FFModalProgressRunLoopMode,Flexo,enum,mode_enum,binary_extract,Enum/mode value
FFModelCoordinatorEnabled,Flexo,bool,behavior_toggle,binary_extract,Model coordinator subsystem
FFModelCoordinatorPreferred,Flexo,bool,behavior_toggle,decompiled_source,Accessed via boolForKey/removeObjectForKey
FFModelScopeDidEndForKey,Flexo,dict,internal,binary_extract,Model-scope stack frame
FFModelScopeLibraryKey,Flexo,dict,internal,binary_extract,Model-scope stack frame
FFModelScopeNestingLevelKey,Flexo,dict,internal,binary_extract,Model-scope stack frame
FFModelScopeStackKey,Flexo,dict,internal,binary_extract,Model-scope stack frame
FFModelScopeWillBeginForKey,Flexo,dict,internal,binary_extract,Model-scope stack frame
FFMonitorAngleAudioChangedObjectsKey,Flexo,object,notification_userinfo,binary_extract,NSNotification userInfo object key
FFMotionPath,Flexo,string,path_url,binary_extract,URL/path/location
FFMotionSettingsToolDisabled,Flexo,bool,behavior_toggle,binary_extract,Disable Motion settings panel
FFMovieExportFailedExceededAllowableFileSize,Flexo,number,numeric_config,binary_extract,Size/dimensions
FFMultiCamGridQuailtyLevel,Flexo,unknown,data_storage,binary_extract,
FFNamingTokenAudioRate,Flexo,unknown,data_storage,binary_extract,
FFNamingTokenShootingRate,Flexo,unknown,data_storage,binary_extract,
FFNamingTokenVideoBitRate,Flexo,unknown,data_storage,binary_extract,
FFNamingTokenVideoRate,Flexo,unknown,data_storage,binary_extract,
FFNearestNeighborKey,Flexo,bool,behavior_toggle,binary_extract,Nearest-neighbor scaling
FFNoiseReductionDebugForce2vuy,Flexo,bool,behavior_toggle,decompiled_source,Accessed via boolForKey/objectForKey
FFObjectCacheRespondToMemoryPressure,Flexo,bool,behavior_toggle,decompiled_source,Accessed via boolForKey
FFObjectDictKey,Flexo,unknown,data_storage,binary_extract,
FFOptimizeMediaProxySizingMode,Flexo,enum,mode_enum,binary_extract,Enum/mode value
FFOrganizedMode,Flexo,enum,mode_enum,binary_extract,Enum/mode value
FFOrganizedModeChangedKey,Flexo,unknown,data_storage,binary_extract,
FFOrganizerContinuousPlayback,Final Cut Pro;Flexo,bool,ui_state,decompiled_source,Accessed via boolForKey; Panel/library state storage
FFOrganizerFilmstripCapActiveKey,Flexo,mixed,ui_state,binary_extract,Panel/library state storage
FFOrganizerFilmstripCapScale,Flexo,mixed,ui_state,binary_extract,Panel/library state storage
FFOrganizerFilmstripCapSelectedKey,Flexo,mixed,ui_state,binary_extract,Panel/library state storage
FFOrganizerFilmstripCapStyleKey,Flexo,mixed,ui_state,binary_extract,Panel/library state storage
FFOrganizerFilmstripHeightKey,Flexo,mixed,ui_state,binary_extract,Panel/library state storage
FFOrganizerFilterHUDFormatInfoAudioChannelCount,Flexo,int,numeric_config,binary_extract,Count
FFOrganizerFilterHUDFormatInfoAudioSampleRate,Flexo,mixed,ui_state,binary_extract,Panel/library state storage
FFOrganizerFilterHUDFormatInfoVideoFrameRate,Flexo,mixed,ui_state,binary_extract,Panel/library state storage
FFOrganizerFilterHUDFormatInfoVideoFrameSize,Flexo,number,numeric_config,binary_extract,Size/dimensions
FFOrganizerModuleEmptyProjectsMode,Flexo,enum,mode_enum,binary_extract,Enum/mode value
FFOrganizerNoItemsCount,Flexo,int,numeric_config,binary_extract,Count
FFOrganizerOneItemCount,Flexo,int,numeric_config,binary_extract,Count
FFOrganizeVideoByRolesKey,Flexo,unknown,data_storage,binary_extract,
FFOverrideConnectionsKey,Flexo,bool,behavior_toggle,binary_extract,Override connected-clip rules
FFPeriodicBackupInterval,Flexo,number,numeric_config,binary_extract,Interval value
FFPeriodicBackupMinimumDuration,Flexo,CMTime,numeric_config,binary_extract,Duration value
FFPeriodicValidationRetryInterval,Final Cut Pro,number,numeric_config,binary_extract,Interval value
FFPhotosImportTaskNameDefault,Flexo,unknown,data_storage,binary_extract,
FFPinCaptionLanesToVisibleRectKey,Flexo,bool,behavior_toggle,binary_extract,Pin captions to visible timeline rect
FFPlayerBackgroundRenderResourceChoiceMode,Final Cut Pro;Flexo,enum,mode_enum,binary_extract,Enum/mode value
FFPlayerDblDbl,Flexo,int,numeric_config,decompiled_source,Accessed via integerForKey
FFPlayerDestRunoutBehavior,Flexo,int,numeric_config,decompiled_source,Accessed via integerForKey/objectForKey
FFPlayerDropExemptionsForLiveEdit,Flexo,int,numeric_config,decompiled_source,Accessed via integerForKey/objectForKey
FFPlayerDroppedAboveThreshold,Flexo,unknown,data_storage,binary_extract,
FFPlayerEnableAllowances,Flexo,int,numeric_config,decompiled_source,Accessed via integerForKey/objectForKey
FFPlayerEnablePreEmptiveSkips,Flexo,int,numeric_config,decompiled_source,Accessed via integerForKey
FFPlayerHDRViewingMode,Flexo,enum,mode_enum,binary_extract,Enum/mode value
FFPlayerHMDDroppedAboveThreshold,Flexo,unknown,data_storage,binary_extract,
FFPlayerLogSuggestedSkipsToConsole,Flexo,int,numeric_config,decompiled_source,Accessed via integerForKey
FFPlayerLoopPlayback,Final Cut Pro;Flexo,bool,behavior_toggle,decompiled_source,Accessed via boolForKey
FFPlayerModuleChangedProviderShouldntBeUsingThisOneKey,Final Cut Pro,string,internal,binary_extract,Developer assertion key (name IS the message)
FFPlayerModuleHideDropFrameWallClockTime,Flexo,bool,behavior_toggle,decompiled_source,Accessed via boolForKey
FFPlayerMultiCamRateAdjust,Flexo,int,numeric_config,decompiled_source,Accessed via integerForKey
FFPlayerReportGlobalDrops,Flexo,bool,behavior_toggle,decompiled_source,Accessed via boolForKey
FFPlayerReportMinRefreshInterval,Flexo,number,numeric_config,binary_extract,Interval value
FFPlayerStatusKey,Flexo,unknown,data_storage,binary_extract,
FFPlayerStereoViewModeKey,Flexo,enum,mode_enum,binary_extract,Enum/mode value
FFPlayerUIPlaybackResourceChoiceMode,Flexo,enum,mode_enum,binary_extract,Enum/mode value
FFPlayerUseQOSUtilityForRender,Flexo,bool,behavior_toggle,decompiled_source,Accessed via boolForKey/objectForKey
FFPlayerVideoModuleDidHide,Flexo,bool,ui_state,binary_extract,UI show/hide state
FFProResRAWStandardPluginRenderMode,Flexo,enum,mode_enum,binary_extract,Enum/mode value
FFProviderFigDebug,Flexo,bool,debug_logging,binary_extract,CoreMedia Fig debug output
FFProviderNoiseReductionUseAlphaStraight,Flexo,int,numeric_config,decompiled_source,Accessed via integerForKey/objectForKey
FFQTMovieFragmentInterval,Flexo,number,numeric_config,binary_extract,Interval value
FFRADIngestExternalURL,Flexo,string,path_url,binary_extract,URL/path/location
FFRADIngestManagerRADVolumePath,Flexo,string,path_url,binary_extract,URL/path/location
FFRADOriginalDestinationFolderPath,Flexo,string,path_url,binary_extract,URL/path/location
FFRADTempFolderURL,Flexo,string,path_url,binary_extract,URL/path/location
FFRangeCheckDrawMode,Flexo,enum,mode_enum,binary_extract,Enum/mode value [also accessed via integerForKey/objectForKey in decomp]
FFRangeCheckLumaEPS,Flexo,double,numeric_config,decompiled_source,Accessed via doubleForKey/objectForKey
FFRangeCheckLumaEPSHigh,Flexo,double,numeric_config,decompiled_source,Accessed via doubleForKey/objectForKey
FFRangeCheckLumaEPSLow,Flexo,double,numeric_config,decompiled_source,Accessed via doubleForKey/objectForKey
FFRangeCheckRGBEPS,Flexo,double,numeric_config,decompiled_source,Accessed via doubleForKey/objectForKey
FFRangeCheckRGBEPSHigh,Flexo,double,numeric_config,decompiled_source,Accessed via doubleForKey/objectForKey
FFRangeCheckRGBEPSLow,Flexo,double,numeric_config,decompiled_source,Accessed via doubleForKey/objectForKey
FFRangeCheckStripeWidth,Flexo,int,numeric_config,decompiled_source,Accessed via integerForKey/objectForKey
FFRangeInvalidationNewAssetAudioSourceDictKey,Flexo,dict,notification_userinfo,binary_extract,NSNotification userInfo key
FFRangeInvalidationOldAssetAudioSourceDictKey,Flexo,dict,notification_userinfo,binary_extract,NSNotification userInfo key
FFRefAudioComponentsLayoutChangeInfoKey,Flexo,unknown,data_storage,binary_extract,
FFRefContainedItemsAddedRemovedOrPlayEnableChangeInformFlagsKey,Flexo,dict,notification_userinfo,binary_extract,NSNotification userInfo key
FFRefRoleChangeContextKey,Flexo,dict,notification_userinfo,binary_extract,NSNotification userInfo key
FFRelinkPanelAccessoryViewDisclosed,Flexo,bool,behavior_toggle,decompiled_source,Accessed via boolForKey
FFRelinkPanelLocateURL,Flexo,string,path_url,binary_extract,URL/path/location [also accessed via URLForKey in decomp]
FFRelinkPanelWindowFrame,Flexo,string,data_storage,decompiled_source,Accessed via stringForKey
FFReloadOperationUsesMultipleThreadsKey,Flexo,bool,behavior_toggle,binary_extract,Multi-threaded reload
FFRemoteURL,Flexo,string,path_url,binary_extract,URL/path/location
FFResetInvalidEffectStacks,Flexo,int,numeric_config,decompiled_source,Accessed via integerForKey
FFRetimeToolDisabled,Flexo,bool,behavior_toggle,binary_extract,Disable retime tool
FFScopingWindowPath,Flexo,string,path_url,binary_extract,URL/path/location
FFScrollTimelineViewPerformanceTest,Flexo,bool,perf_monitor,binary_extract,Perf-test: timeline-scroll instrumentation
FFSegmentationMaskContourHide,Flexo,bool,ui_state,binary_extract,UI show/hide state
FFSegmentationMaskContourShow,Flexo,bool,ui_state,binary_extract,UI show/hide state
FFSegmentationMaskEditorHide,Flexo,bool,ui_state,binary_extract,UI show/hide state
FFSegmentationMaskEditorShow,Flexo,bool,ui_state,binary_extract,UI show/hide state
FFSegmentStoreAlphaMode,Flexo,enum,mode_enum,binary_extract,Enum/mode value
FFSegmentStoreFileFrameCount,Flexo,int,numeric_config,binary_extract,Count
FFSelectEditsAfterPasteKey,Flexo,bool,behavior_toggle,binary_extract,Keep selection after paste
FFSendCaptionsToCompressorDisabledRolesCount,Flexo,int,numeric_config,binary_extract,Count
FFSendToCompressorMenuItemDefault,Flexo,unknown,data_storage,binary_extract,
FFSequenceDefaultCropTypeKey,Flexo,unknown,data_storage,binary_extract,
FFSequenceDragEditMode,Flexo,enum,mode_enum,binary_extract,Enum/mode value
FFSequenceEditDefaultDurationKey,Flexo,CMTime,numeric_config,binary_extract,Duration value
FFSequencePlacementMode,Flexo,enum,mode_enum,binary_extract,Enum/mode value
FFSequenceSlipSlideMode,Flexo,enum,mode_enum,binary_extract,Enum/mode value
FFSequenceTransDefault,Flexo,unknown,data_storage,binary_extract,
FFSequenceTransDefaultDuration,Flexo,CMTime,numeric_config,binary_extract,Duration value
FFSequenceTransMinDuration,Flexo,CMTime,numeric_config,binary_extract,Duration value
FFSequenceTrimEditMode,Flexo,enum,mode_enum,binary_extract,Enum/mode value
FFServerErrorRateLimit,Flexo,unknown,data_storage,binary_extract,
FFSetCutawayMode,Flexo,enum,mode_enum,binary_extract,Enum/mode value
FFSetPIPEffectTransitionDuration,Flexo,CMTime,numeric_config,binary_extract,Duration value
FFSetSideBySideSlideDuration,Flexo,CMTime,numeric_config,binary_extract,Duration value
FFShareActorsKey,Flexo,string,data_storage,binary_extract,Share/export default or metadata key
FFShareCategoryKey,Flexo,string,data_storage,binary_extract,Share/export default or metadata key
FFShareCopyrightKey,Flexo,string,data_storage,binary_extract,Share/export default or metadata key
FFShareCreatorKey,Flexo,string,data_storage,binary_extract,Share/export default or metadata key
FFShareDateKey,Flexo,string,data_storage,binary_extract,Share/export default or metadata key
FFSharedAudioUnitInvalidationReasonKey,Flexo,string,data_storage,binary_extract,Share/export default or metadata key
FFSharedAudioUnitPoolFormatKey,Flexo,string,data_storage,binary_extract,Share/export default or metadata key
FFShareDescriptionKey,Flexo,string,data_storage,binary_extract,Share/export default or metadata key
FFShareDestinationsKey,Flexo,string,data_storage,binary_extract,Share/export default or metadata key
FFShareDirectorKey,Flexo,string,data_storage,binary_extract,Share/export default or metadata key
FFShareEntireProjectDuration,Flexo,CMTime,numeric_config,binary_extract,Duration value
FFShareEpisodeIDKey,Flexo,string,data_storage,binary_extract,Share/export default or metadata key
FFShareEpisodeNumberKey,Flexo,string,data_storage,binary_extract,Share/export default or metadata key
FFShareGenreKey,Flexo,string,data_storage,binary_extract,Share/export default or metadata key
FFShareMasteringDisplayMaxLuminanceKey,Flexo,string,data_storage,binary_extract,Share/export default or metadata key
FFShareMasteringDisplayMinLuminanceKey,Flexo,string,data_storage,binary_extract,Share/export default or metadata key
FFShareMasteringDisplayPrimariesKey,Flexo,string,data_storage,binary_extract,Share/export default or metadata key
FFShareMasteringDisplayWhitePointKey,Flexo,string,data_storage,binary_extract,Share/export default or metadata key
FFShareMaxCLLKey,Flexo,string,data_storage,binary_extract,Share/export default or metadata key
FFShareMaxFALLKey,Flexo,string,data_storage,binary_extract,Share/export default or metadata key
FFShareMediaKindKey,Flexo,string,data_storage,binary_extract,Share/export default or metadata key
FFShareMenuItemDefault,Flexo,string,data_storage,binary_extract,Share/export default or metadata key
FFShareMenuProjectDefault,Flexo,string,data_storage,binary_extract,Share/export default or metadata key
FFSharePanelColorModeKey,Flexo,enum,mode_enum,binary_extract,Enum/mode value
FFSharePanelColorSpaceKey,Flexo,string,data_storage,binary_extract,Share/export default or metadata key
FFSharePanelExportSelectedLayersOnlyKey,Flexo,string,data_storage,binary_extract,Share/export default or metadata key
FFSharePanelParentBrickFilesCount,Flexo,int,numeric_config,binary_extract,Count
FFSharePlayRangeDuration,Flexo,CMTime,numeric_config,binary_extract,Duration value
FFShareProducerKey,Flexo,string,data_storage,binary_extract,Share/export default or metadata key
FFShareRatingKey,Flexo,string,data_storage,binary_extract,Share/export default or metadata key
FFShareScreenwriterKey,Flexo,string,data_storage,binary_extract,Share/export default or metadata key
FFShareSeasonNumberKey,Flexo,string,data_storage,binary_extract,Share/export default or metadata key
FFShareShareIDKey,Flexo,string,data_storage,binary_extract,Share/export default or metadata key
FFShareShow,Flexo,bool,ui_state,binary_extract,UI show/hide state
FFShareShowKey,Flexo,string,data_storage,binary_extract,Share/export default or metadata key
FFShareStatusCountKey,Flexo,string,data_storage,binary_extract,Share/export default or metadata key
FFShareStatusDateKey,Flexo,string,data_storage,binary_extract,Share/export default or metadata key
FFShareStatusDateStringKey,Flexo,string,data_storage,binary_extract,Share/export default or metadata key
FFShareStatusErrorKey,Flexo,string,data_storage,binary_extract,Share/export default or metadata key
FFShareStatusFPKey,Flexo,string,data_storage,binary_extract,Share/export default or metadata key
FFShareStatusIndexKey,Flexo,string,data_storage,binary_extract,Share/export default or metadata key
FFShareStatusKindKey,Flexo,string,data_storage,binary_extract,Share/export default or metadata key
FFShareStatusMultiplePathsKey,Flexo,string,data_storage,binary_extract,Share/export default or metadata key
FFShareStatusVideoPathKey,Flexo,string,data_storage,binary_extract,Share/export default or metadata key
FFShareTagsKey,Flexo,string,data_storage,binary_extract,Share/export default or metadata key
FFShareTitleKey,Flexo,string,data_storage,binary_extract,Share/export default or metadata key
FFShareTVNetworkKey,Flexo,string,data_storage,binary_extract,Share/export default or metadata key
FFShareVisibleMetadataKey,Flexo,string,data_storage,binary_extract,Share/export default or metadata key
FFSharingTokenDuration,Flexo,CMTime,numeric_config,binary_extract,Duration value
FFShouldAllocFCPO,Flexo,bool,behavior_toggle,decompiled_source,Accessed via boolForKey
FFShouldAllowCOFitFill,Flexo,bool,behavior_toggle,decompiled_source,Accessed via boolForKey
FFShouldAllowDenoise,Flexo,bool,behavior_toggle,decompiled_source,Accessed via boolForKey/objectForKey
FFShouldAllowDenoiseOnBlacklistedConfigs,Flexo,bool,behavior_toggle,decompiled_source,Accessed via boolForKey
FFShouldNotAllowAudioEffectInTranscription,Flexo,bool,behavior_toggle,decompiled_source,Accessed via boolForKey
FFShowAudioAnimation,binary_scan,bool,behavior_toggle,binary_strings_scan,"Candidate: discovered via binary strings scan, NOT verified"
FFShowConfidenceValuesInListView,binary_scan,bool,behavior_toggle,binary_strings_scan,"Candidate: discovered via binary strings scan, NOT verified"
FFShowDateRangesInEventList,binary_scan,bool,behavior_toggle,binary_strings_scan,"Candidate: discovered via binary strings scan, NOT verified"
FFShowDisplayTimes,binary_scan,bool,behavior_toggle,binary_strings_scan,"Candidate: discovered via binary strings scan, NOT verified"
FFShowDragAlignmentGuides,binary_scan,bool,behavior_toggle,binary_strings_scan,"Candidate: discovered via binary strings scan, NOT verified"
FFShowFilmstripWithAllEffects,binary_scan,bool,behavior_toggle,binary_strings_scan,"Candidate: discovered via binary strings scan, NOT verified [also accessed via boolForKey in decomp]"
FFShowHDRAsRawValues,binary_scan,bool,behavior_toggle,binary_strings_scan,"Candidate: discovered via binary strings scan, NOT verified"
FFShowHiddenClips,binary_scan,bool,behavior_toggle,binary_strings_scan,"Candidate: discovered via binary strings scan, NOT verified"
FFShowHiddenTasksInBackgroundTaskHUDKey,Flexo,bool,behavior_toggle,binary_extract,Reveal hidden background tasks
FFShowHideTimelineLanesDecorator,binary_scan,bool,behavior_toggle,binary_strings_scan,"Candidate: discovered via binary strings scan, NOT verified"
FFShowItemTitles,binary_scan,bool,behavior_toggle,binary_strings_scan,"Candidate: discovered via binary strings scan, NOT verified"
FFShowMarkedRanges,binary_scan,bool,behavior_toggle,binary_strings_scan,"Candidate: discovered via binary strings scan, NOT verified"
FFShowMisalignedDupeIndicatorsKey,Flexo,bool,behavior_toggle,binary_extract,Highlight duplicate-range misalignments
FFShowPlayheadInfoPopover,Flexo,bool,behavior_toggle,decompiled_source,Accessed via boolForKey
FFShowPlayheadInfoPopoverUserSetting,binary_scan,bool,behavior_toggle,binary_strings_scan,"Candidate: discovered via binary strings scan, NOT verified"
FFShowRanges,binary_scan,bool,behavior_toggle,binary_strings_scan,"Candidate: discovered via binary strings scan, NOT verified"
FFShowSkimmerInfo,binary_scan,bool,behavior_toggle,binary_strings_scan,"Candidate: discovered via binary strings scan, NOT verified"
FFShowTextRulersKey,Flexo,bool,behavior_toggle,binary_extract,Show text rulers in titles
FFShowUnremarkableTasksInBackgroundTaskHUD,binary_scan,bool,behavior_toggle,binary_strings_scan,"Candidate: discovered via binary strings scan, NOT verified"
FFShowUsedMediaRanges,binary_scan,bool,behavior_toggle,binary_strings_scan,"Candidate: discovered via binary strings scan, NOT verified"
FFShowVideoAnimation,binary_scan,bool,behavior_toggle,binary_strings_scan,"Candidate: discovered via binary strings scan, NOT verified"
FFSidebarModuleCreateDefaultLibraryKey,Flexo,unknown,data_storage,binary_extract,
FFSoloAnimation,Flexo,bool,behavior_toggle,decompiled_source,Accessed via boolForKey
FFSoloChangedTypeKey,Flexo,unknown,data_storage,binary_extract,
FFSourceVideoOverrideCameraProjectionMode,Flexo;ProMedia,enum,mode_enum,binary_extract,Enum/mode value
FFStabilizationUseTripodMode,Flexo,bool,behavior_toggle,binary_extract,Default stabilization to tripod
FFSwitchLibraryPanelFrame,Flexo,string,data_storage,decompiled_source,Accessed via stringForKey
FFSyncMediaDisabled,Flexo,bool,behavior_toggle,binary_extract,Disable media sync [also accessed via integerForKey in decomp]
FFSyncMediaLogging,Flexo,int,numeric_config,decompiled_source,Accessed via integerForKey
FFTestTimingSyncKey,Flexo,unknown,data_storage,binary_extract,
FFTheaterCreateArchives,Flexo,bool,behavior_toggle,decompiled_source,Accessed via boolForKey
FFTheaterDeprecationKnowledgeBaseURL,Flexo,string,path_url,binary_extract,URL/path/location
FFTheaterICloudEnabled,Flexo,bool,behavior_toggle,binary_extract,Enable toggle [also accessed via boolForKey in decomp]
FFTheaterICloudUnavailableLearnMoreURL,Flexo,string,path_url,binary_extract,URL/path/location
FFTheaterShareShouldAddToTheater,Flexo,bool,behavior_toggle,decompiled_source,Accessed via boolForKey
FFThrottleSegmentStoreWrites,Flexo,bool,behavior_toggle,decompiled_source,Accessed via boolForKey/objectForKey
FFTimecodeDisplayHUDBackgroundMode,Flexo,enum,mode_enum,binary_extract,Enum/mode value
FFTimecodeDisplayHUDFontSize,Flexo,number,numeric_config,binary_extract,Size/dimensions
FFTimedMetadataRequestInternal,Flexo,unknown,data_storage,binary_extract,
FFTimelineDefaultsVersion,Flexo,int,numeric_config,decompiled_source,Accessed via integerForKey
FFTimelineMediaChangedItemsKey,Flexo,unknown,data_storage,binary_extract,
FFTimelineRippleAfterRetimeKey,Flexo,bool,behavior_toggle,binary_extract,Ripple after retime
FFTimingMetadataPrimaryKey,Flexo,unknown,data_storage,binary_extract,
FFTrackerTransformScaleMode,Flexo,enum,mode_enum,binary_extract,Enum/mode value
FFTrackingTransformScale,Flexo,unknown,data_storage,binary_extract,
FFTranscodeResourceChoiceMode,Final Cut Pro;Flexo;Ozone,enum,mode_enum,binary_extract,Enum/mode value
FFTranscoderMediaNoDuration,Flexo,CMTime,numeric_config,binary_extract,Duration value
FFTrimDuration,Flexo,CMTime,numeric_config,binary_extract,Duration value
FFUIColorOSCsPreferenceKey,Flexo,unknown,data_storage,binary_extract,
FFURLDownloadTaskNameDefault,Flexo,unknown,data_storage,binary_extract,
FFURLInfoClipNameKey,Flexo,unknown,data_storage,binary_extract,
FFURLInfoCreationDateKey,Flexo,unknown,data_storage,binary_extract,
FFURLInfoRangeKey,Flexo,unknown,data_storage,binary_extract,
FFUseLUTSAndBalanceInBoard,Flexo,bool,behavior_toggle,decompiled_source,Accessed via boolForKey
FFUseOriginalOrOptimizedMediaPlayerQualityKey,Flexo,bool,behavior_toggle,binary_extract,Playback quality preference
FFUseRunGroupsForAudioAnalysis,Flexo,bool,behavior_toggle,decompiled_source,Accessed via boolForKey
FFVAMLSaveTranscription,CFPreferences,bool,debug_logging,curated_cfprefs,Persist transcription data to disk
FFVerticalIndexPath,Flexo,string,path_url,binary_extract,URL/path/location
FFVideoAngle,Flexo,string,data_storage,decompiled_source,Accessed via stringForKey
FFVideoEffectPresetKeyframeMode,Flexo,enum,mode_enum,binary_extract,Enum/mode value
FFViewEffectMatteMode,Flexo,enum,mode_enum,binary_extract,Enum/mode value [also accessed via integerForKey in decomp]
FFViewportSize,Flexo,number,numeric_config,binary_extract,Size/dimensions
FFXMLExportMetadataView,Flexo,string,data_storage,decompiled_source,Accessed via stringForKey
FFXMLImportDoNotDeleteiMovieXMLAfterImport,Flexo,bool,behavior_toggle,decompiled_source,Accessed via boolForKey
FFXMLManageFileTypeKey,Flexo,unknown,data_storage,binary_extract,
FFXMLReasonInvalidImportOptionKey,Flexo,unknown,data_storage,binary_extract,
FFXMLTranslationXMLDradAndDropMode,Flexo,enum,mode_enum,binary_extract,Enum/mode value
firstLineOnlyForLastCastMember,Flexo,bool,behavior_toggle,decompiled_source,Accessed via boolForKey
FORCE_GL_FINISH,Ozone,bool,debug_logging,decompiled_source,Accessed via boolForKey; Force glFinish between draws (Ozone)
FrameDropLogLevel,CFPreferences,int,debug_logging,curated_cfprefs,"Frame drop reporting (0=off, higher=more)"
generatedByTrailer,Flexo,bool,behavior_toggle,decompiled_source,Accessed via boolForKey/objectForKey
GPU_LOGGING,CFPreferences,bool,debug_logging,curated_cfprefs,GPU/FxPlug pipeline logging
hasClip,Flexo,bool,behavior_toggle,decompiled_source,Accessed via boolForKey/removeObjectForKey
HDRCompatible,Flexo,bool,behavior_toggle,decompiled_source,Accessed via boolForKey
HELIUM_INERTIACAM_CL_DISABLE,Flexo,bool,behavior_toggle,decompiled_source,Accessed via boolForKey
HMDDisableIdle,ProCore,bool,behavior_toggle,decompiled_source,Accessed via boolForKey; Keep HMD awake
HMDLogFramerate,ProCore,bool,debug_logging,decompiled_source,Accessed via boolForKey; Log HMD framerate
HMDOutuputEnabled,Flexo,bool,behavior_toggle,binary_extract,HMD output toggle (sic: typo in FCP)
isConstantOffset,Flexo,bool,behavior_toggle,decompiled_source,Accessed via boolForKey/objectForKey
isVertical,Final Cut Pro,bool,behavior_toggle,decompiled_source,Accessed via boolForKey
junkiness,Flexo,double,numeric_config,decompiled_source,Accessed via setDouble:forKey
kAnalyzeAndOptimizeCreateLightweightProxy,Flexo,bool,behavior_toggle,decompiled_source,Accessed via boolForKey/objectForKey
legacy,Flexo,bool,behavior_toggle,decompiled_source,Accessed via boolForKey
levelsOfUndo,Flexo,int,numeric_config,decompiled_source,Accessed via integerForKey/objectForKey
lineSpacing,Flexo,float,numeric_config,decompiled_source,Accessed via floatForKey/objectForKey
LK_DEBUG_COACH_TIP_UPDATES,LunaKit,bool,behavior_toggle,decompiled_source,Accessed via boolForKey/objectForKey
LK_DEBUG_COACH_TIPS,LunaKit,bool,behavior_toggle,decompiled_source,Accessed via boolForKey/objectForKey
LKCoachTipKey,LunaKit,string,state,binary_extract,Coach-tip state key
LKContainerShowHideMaximumDuration,LunaKit,float,numeric_config,binary_extract,Show/hide animation max [also accessed via doubleForKey in decomp]
LKContainerShowHideMinimumDuration,LunaKit,float,numeric_config,binary_extract,Show/hide animation min [also accessed via doubleForKey in decomp]
